
2,5,8,13,14,12,14,9,11,12,11,12,10,10,19,10,12,26,27,30,12,12,13,10,12,8,0,0,0,0
4,2,12,15,16,14,15,11,13,14,14,13,13,14,19,14,13,24,25,28,14,15,15,13,14,10,0,0,0,0
8,12,2,11,9,14,14,15,17,15,18,18,17,17,19,15,16,25,27,28,17,19,18,17,17,14,0,0,0,0
13,15,12,2,11,10,13,13,6,16,13,12,12,13,20,12,13,25,26,29,13,14,15,12,10,12,0,0,0,0
14,16,9,10,2,13,13,8,16,6,16,17,16,16,17,15,14,24,25,27,16,18,16,16,15,14,0,0,0,0
12,14,14,10,13,2,7,11,12,16,11,10,12,10,19,9,13,24,25,29,12,12,14,10,12,12,0,0,0,0
14,15,14,13,13,4,2,15,15,16,15,14,15,14,19,13,15,25,26,30,14,16,16,14,14,16,0,0,0,0
9,11,15,13,8,11,15,1,12,7,8,9,11,9,19,8,11,25,26,29,8,10,14,10,12,10,0,0,0,0
14,13,17,6,16,13,15,12,2,10,12,11,12,9,18,12,13,24,27,29,10,12,14,11,11,10,0,0,0,0
15,14,15,16,6,16,16,7,10,2,15,16,15,13,15,14,13,25,26,28,14,16,15,16,16,12,0,0,0,0
10,13,18,13,16,11,15,8,12,15,2,7,9,4,20,6,11,26,28,31,8,4,15,6,11,12,0,0,0,0
11,13,18,12,17,10,14,9,11,16,7,2,8,8,19,8,11,25,27,30,7,8,15,6,10,12,0,0,0,0
10,13,17,12,16,12,15,11,12,15,9,8,0,10,19,10,13,25,27,30,9,10,13,8,9,11,0,0,0,0
10,14,17,13,16,10,14,9,10,14,4,8,10,1,19,6,13,28,30,33,7,3,14,6,11,12,0,0,0,0
19,19,19,20,17,19,19,19,18,15,20,19,19,19,1,21,9,22,23,25,19,22,19,20,19,19,500,1000,0,0
10,14,15,13,15,9,13,8,12,14,6,8,10,6,21,1,12,23,25,28,9,6,12,5,10,10,0,0,0,0
12,13,16,13,14,13,15,11,13,13,11,11,13,14,9,13,1,22,24,27,13,14,16,13,13,17,500,1000,0,0
26,24,25,25,24,24,25,25,24,25,26,25,25,27,22,23,21,0,3,6,23,28,23,24,24,23,0,0,0,0
27,25,27,26,25,25,26,26,27,26,28,27,27,29,23,25,23,3,0,8,26,30,23,26,26,25,0,0,0,0
30,28,28,29,27,29,30,29,29,28,31,30,30,32,25,28,26,6,8,0,28,32,27,29,29,27,0,0,0,0
10,14,17,13,16,10,14,8,10,14,8,7,9,7,19,9,13,23,26,28,0,8,14,7,10,11,0,0,0,0
11,15,19,14,18,12,16,10,12,16,4,8,10,3,22,6,14,28,30,32,8,2,15,6,11,12,0,0,0,0
13,15,18,15,16,14,16,14,14,15,15,15,13,14,19,12,15,23,23,27,14,15,0,14,14,10,0,0,0,750
10,13,17,12,16,10,14,10,11,16,6,6,8,6,20,5,12,24,26,29,7,6,14,1,5,12,0,0,0,0
12,14,17,10,15,12,14,12,11,16,11,10,9,11,19,10,12,24,26,29,10,11,14,6,0,13,0,0,0,750
8,10,14,12,14,12,16,10,10,12,12,12,11,12,19,10,14,23,25,27,11,12,10,12,13,2,0,0,0,750
