
1,19,13,9,14,10,17,10,11,23,14,11,10,8,10,9,10,9,10,13,10,14,14,14,14,24,20,12,17,8,12,22,16,13,14,15,12,18,15,9,7,10,13,16,17,14,10,13,24,16,25,23,15,17,12,9,12,10,14,14,23,15,11,23,14,10,12,13,14,18,12,11,10,13,22,14,10,16,10,10,11,17,11,10,10,14,22,14,11,12,11,11,28,23,21,11,14,14,14,12,13,11,31,36,31,36,24,29,29,30,23,29,19,20,8,15,27,20,23,16,22,14,15,17,22,17,15,17,0,0,0,0
19,0,9,18,18,20,16,20,18,15,11,17,18,19,19,20,19,19,20,11,19,10,10,10,10,22,16,17,18,19,17,22,21,17,17,21,17,22,18,18,19,16,16,18,19,16,17,16,17,17,19,17,18,20,16,17,16,19,19,19,23,17,18,23,18,18,16,18,18,20,18,21,20,20,22,18,20,18,18,19,19,19,17,20,18,16,21,18,20,17,19,17,29,23,20,17,18,15,16,13,17,18,27,26,28,26,23,19,26,20,22,18,18,12,19,10,25,13,23,11,22,10,21,10,22,8,22,11,0,1000,2000,0
13,9,0,12,15,14,14,14,12,13,6,14,12,14,13,15,15,15,12,2,13,15,15,15,15,27,19,13,17,15,12,18,19,13,13,18,12,21,15,11,14,12,11,16,16,12,15,12,20,18,22,19,13,19,12,12,11,13,15,15,22,13,12,23,13,13,12,13,13,19,13,15,14,16,22,13,14,16,12,13,13,18,12,13,13,15,18,16,16,13,14,13,29,23,19,12,14,12,14,10,12,11,32,27,32,28,26,21,29,22,26,20,17,10,16,4,23,11,17,5,14,2,18,7,16,4,18,6,500,1000,0,0
9,18,12,0,14,10,16,24,9,23,12,12,10,9,10,8,10,10,10,12,9,12,12,12,12,24,16,7,11,13,7,26,16,8,8,14,6,18,10,8,9,8,13,17,15,13,11,10,21,16,21,19,13,15,6,9,10,10,13,13,21,12,10,22,12,10,10,12,12,18,11,11,11,13,22,13,9,16,10,10,10,17,10,11,10,13,21,14,16,11,11,12,30,22,21,11,15,15,18,12,13,10,34,35,35,36,28,29,33,30,27,28,20,19,13,14,32,20,27,15,24,13,19,15,25,15,19,15,0,0,0,0
14,18,15,14,0,16,15,14,14,21,16,15,13,15,15,14,15,14,15,16,15,16,16,16,16,28,20,14,17,13,14,23,20,14,14,19,14,22,15,15,15,14,14,17,19,16,13,15,21,16,23,19,16,19,14,13,15,15,15,15,23,17,11,24,17,15,15,15,17,19,16,16,16,17,23,17,15,18,14,14,15,19,15,15,15,16,21,16,16,15,16,14,29,22,21,14,17,15,18,15,15,14,32,34,34,35,28,29,32,30,27,28,20,19,13,16,30,20,24,15,21,16,18,16,23,16,18,16,0,0,0,0
10,20,14,10,16,0,16,5,9,26,14,11,6,7,3,6,10,10,5,13,9,19,19,19,19,31,23,14,17,15,14,28,21,13,17,21,14,24,17,10,3,9,15,17,20,16,11,13,25,17,28,24,16,20,13,7,13,5,16,16,27,18,9,27,17,7,13,16,17,23,15,4,9,17,26,17,4,19,12,11,5,20,13,11,12,14,24,17,18,15,11,10,33,25,23,7,16,14,20,13,16,10,38,40,38,40,30,32,36,34,29,31,21,22,15,16,35,23,28,16,27,15,22,19,28,18,22,18,0,0,0,0
17,16,14,16,15,16,1,13,16,22,13,16,15,17,15,17,17,16,17,14,17,15,15,15,15,27,21,15,18,16,15,25,21,15,16,20,16,22,16,16,16,14,15,18,20,17,15,16,21,15,22,19,16,17,14,15,16,16,15,15,23,15,12,23,15,14,15,16,15,19,17,16,15,16,22,15,16,16,16,15,16,16,16,16,15,15,22,17,17,15,14,14,30,23,21,14,17,16,19,15,16,16,33,33,34,34,27,27,28,27,27,28,20,19,16,14,30,19,26,15,23,14,21,17,25,16,21,16,0,0,0,0
10,20,14,9,14,5,13,1,10,24,15,12,7,7,5,6,10,10,5,14,8,17,17,17,17,29,21,13,17,15,13,27,20,12,15,21,13,23,15,10,6,8,14,18,19,16,12,12,23,15,26,22,13,19,10,7,12,5,16,16,26,18,10,26,17,7,12,16,17,22,15,5,10,16,25,16,6,20,9,8,5,18,10,8,9,14,24,16,16,15,11,11,32,25,22,7,16,13,19,12,14,9,36,38,36,38,29,32,33,32,28,30,20,21,15,16,32,21,26,15,26,15,21,19,27,18,20,17,0,0,0,0
11,18,12,9,14,13,16,11,0,23,13,13,11,10,10,11,11,11,10,12,10,18,18,18,18,28,22,14,15,13,13,24,20,15,15,18,13,22,17,10,10,10,14,15,18,13,13,12,23,16,25,21,14,19,13,10,13,12,13,13,22,15,9,22,14,10,13,14,14,18,13,12,11,14,22,15,10,18,10,10,11,17,12,9,10,14,20,14,16,14,11,10,29,22,21,11,15,14,18,12,13,10,34,36,35,36,27,28,33,30,27,28,18,19,14,14,31,21,25,15,23,13,19,16,23,15,20,16,0,0,0,0
23,15,13,23,21,26,22,24,23,0,15,24,24,25,25,26,22,22,24,14,23,21,21,21,21,25,20,23,20,23,22,23,22,22,20,22,23,24,22,19,25,23,20,23,24,22,22,20,22,22,23,21,20,24,21,23,22,25,25,25,25,22,21,25,23,23,21,23,23,24,23,27,25,25,22,22,26,21,23,24,24,21,20,22,23,20,21,19,22,23,24,23,30,25,24,24,24,22,22,21,21,24,30,21,30,20,26,15,27,14,25,14,24,13,23,13,23,11,24,12,23,13,21,10,24,12,23,12,500,1000,0,0
14,11,6,12,16,14,13,15,13,15,0,12,11,13,12,14,14,14,14,4,15,15,15,15,15,26,18,14,17,16,13,20,19,13,14,19,14,20,14,9,15,13,11,16,17,13,14,13,19,16,21,18,13,18,12,14,13,15,16,16,21,14,13,22,14,13,11,14,14,18,14,17,16,16,20,13,14,15,14,15,13,18,12,12,13,14,20,17,16,14,15,15,30,24,20,14,16,15,15,11,15,14,31,30,31,29,25,23,28,24,25,22,17,12,16,8,26,14,21,9,19,7,19,9,20,10,19,9,0,1000,0,0
9,17,14,12,15,11,16,12,13,24,12,0,9,9,10,10,10,9,10,15,12,13,13,13,13,26,18,13,17,15,13,28,22,14,16,21,13,24,16,12,11,10,15,15,18,15,9,13,19,11,22,18,16,18,13,12,13,12,16,16,26,17,12,26,16,9,13,16,16,20,14,12,12,14,24,15,12,18,12,12,12,20,13,11,11,13,21,15,17,14,12,10,31,23,22,10,13,12,21,13,14,13,33,35,33,35,26,28,31,29,25,27,19,20,15,16,32,20,28,16,27,15,20,17,28,17,21,17,0,0,0,0
