
0,7,2,10,7,2,10,7,2,10,7,2,11,7,2,21,7,2,20,7,2,15,7,2,13,7,2,11,7,2,14,7,2,14,7,2,11,7,2,13,7,2,14,7,2,0
10,0,1,0,0,1,13,0,1,4,0,1,9,0,1,24,0,1,25,0,1,17,0,1,18,0,1,14,0,1,16,0,1,17,0,1,12,0,1,19,0,1,17,0,1,0
10,0,3,13,0,3,0,0,3,11,0,3,10,0,3,18,0,3,18,0,3,13,0,3,13,0,3,9,0,3,14,0,3,13,0,3,11,0,3,13,0,3,14,0,3,0
10,1,4,4,1,4,11,1,4,0,1,4,5,1,4,20,1,4,21,1,4,14,1,4,15,1,4,10,1,4,13,1,4,13,1,4,8,1,4,15,1,4,13,1,4,0
11,0,4,9,0,4,10,0,4,5,0,4,0,0,4,18,0,4,19,0,4,13,0,4,14,0,4,9,0,4,12,0,4,12,0,4,7,0,4,14,0,4,11,0,4,0
21,2,0,24,2,0,18,2,0,20,2,0,18,2,0,0,2,0,6,2,0,13,2,0,15,2,0,16,2,0,13,2,0,14,2,0,15,2,0,16,2,0,19,2,0,0
20,1,1,25,1,1,18,1,1,21,1,1,19,1,1,6,1,1,0,1,1,13,1,1,16,1,1,17,1,1,13,1,1,14,1,1,16,1,1,18,1,1,19,1,1,0
15,1,3,17,1,3,13,1,3,14,1,3,13,1,3,13,1,3,13,1,3,0,1,3,12,1,3,13,1,3,7,1,3,8,1,3,9,1,3,14,1,3,13,1,3,0
13,1,3,18,1,3,13,1,3,15,1,3,14,1,3,15,1,3,16,1,3,12,1,3,0,1,3,8,1,3,6,1,3,11,1,3,12,1,3,7,1,3,12,1,3,0
11,1,3,14,1,3,9,1,3,10,1,3,9,1,3,16,1,3,17,1,3,13,1,3,8,1,3,0,1,3,11,1,3,11,1,3,6,1,3,7,1,3,9,1,3,0
14,2,3,16,2,3,14,2,3,13,2,3,12,2,3,13,2,3,13,2,3,7,2,3,6,2,3,11,2,3,0,2,3,7,2,3,8,2,3,12,2,3,12,2,3,0
14,2,1,17,2,1,13,2,1,13,2,1,12,2,1,14,2,1,14,2,1,8,2,1,11,2,1,11,2,1,7,2,1,0,2,1,7,2,1,6,2,1,12,2,1,1
11,1,3,12,1,3,11,1,3,8,1,3,7,1,3,15,1,3,16,1,3,9,1,3,12,1,3,6,1,3,8,1,3,7,1,3,0,1,3,13,1,3,9,1,3,0
13,1,1,19,1,1,13,1,1,15,1,1,14,1,1,16,1,1,18,1,1,14,1,1,7,1,1,7,1,1,12,1,1,6,1,1,13,1,1,0,1,1,12,1,1,1
14,1,2,17,1,2,14,1,2,13,1,2,11,1,2,19,1,2,19,1,2,13,1,2,12,1,2,9,1,2,12,1,2,12,1,2,9,1,2,12,1,2,0,1,2,0
